id,anyo,ejercicio,numero,tema,subtema,tipo,dificultad,pregunta,opcion_A,opcion_B,opcion_C,opcion_D,respuesta_correcta,fuente
2017-E1-001,2017,1,1,,Ortografía,psicotecnico_verbal,baja,"lividez, captor, rábano, lacayo, esaltamiento, tesela,
hibisco, urogayo, bacuo, reptar",2,3,1,4,B,2017_Cuestionario1.CAM.pdf
2017-E1-002,2017,1,2,,Ortografía,psicotecnico_verbal,baja,"astracto, hignoto, zarcillo, tuvería, besamanos,
bosquejo, humo, excabeche, plebeyo, vadeable",3,2,4,5,C,2017_Cuestionario1.CAM.pdf
2017-E1-003,2017,1,3,,Ortografía,psicotecnico_verbal,baja,"quirurgico, fraccion, brío, caridád, lapislázuli, aldába,
tandem, mitologia, almibar, encefálica",6,5,4,7,D,2017_Cuestionario1.CAM.pdf
2017-E1-004,2017,1,4,,Ortografía,psicotecnico_verbal,baja,"realidad, inclito, pómez, chimpance, colibrí, cinéfilo,
huracán, véga, superávit, riesgo",3,2,5,4,A,2017_Cuestionario1.CAM.pdf
2017-E1-005,2017,1,5,,Cálculo numérico,psicotecnico_numerico,media,"Una vez realizadas las operaciones numéricas de las series siguientes. ¿Cuál es el
resultado de sumar los 3 totales?
5 8 7 5 2 6 4
7 5 8 9:3 8 3 5
8 4 8:4 9 5 4",76,78,77,"75 difusión o comunicación pública por cualquier medio o en cualquier forma, salvo persona o entidad autorizada a tal efecto",C,2017_Cuestionario1.CAM.pdf
2017-E1-006,2017,1,6,,Cálculo numérico,psicotecnico_numerico,media,"Una vez realizadas las operaciones numéricas de las series siguientes. ¿Cuál es el
resultado de sumar los 3 totales?
8 13 12 6 9 15 11 18
5 2 8 10 7 16 8 9
6 2 9 7 3 5 8 2",19,21,20,18,A,2017_Cuestionario1.CAM.pdf
2017-E1-007,2017,1,7,,Cálculo numérico,psicotecnico_numerico,media,"Observe las siguientes igualdades:
R a b c
S a b c
T a b c
En dichas igualdades se establece: a = 10, b = 1/4, c = 2.
¿Cuál es el resultado de R S T?",29,19,25,15,D,2017_Cuestionario1.CAM.pdf
2017-E1-008,2017,1,8,,Cálculo numérico,psicotecnico_numerico,media,"Una vez realizadas las operaciones numéricas de las series siguientes. ¿Cuál es el
resultado de sumar los 2 totales?
0,23 1,49 0,07 1,13
3,49 1,03 0,16 4,01","1,77","0,77","1,87","0,87 difusión o comunicación pública por cualquier medio o en cualquier forma, salvo persona o entidad autorizada a tal efecto. Observe el siguiente cuadro: pNMeqbFYGhmLBNcepNMeqbYFpNMbqeFYpNMqebFYpMNqebFYpNMbeqFYpMNqebFY CDKzhAprCKDhzArppNMqedFYpMNedqFYCKDhzApwpMNeqbFYpNMeqdYFCKDhzArp pNMeqbFypNMqedFYpNMbqeFYpNMeqbYFpNMeqbFYpMNeqbYFGhmBNLcepMNeqbFy GhmBNLcepMNeqbFyGhmLBNcePnMEbqFYpMNeqbFYCDKzhAprpNMbqeFYCDKzhApr pNMbqeFYpNMqedFYPnMEbqFYpMNeqbFypNMeqdFypNMqedFYCKDhzArpGhmBNLce pNMeqdYFpNMebqYFpNMbqeFYpMNedqFYpNMbqeFYGhmLBNcepNMeqbFYPnMEbqFY",D,2017_Cuestionario1.CAM.pdf
2017-E1-009,2017,1,9,,Búsqueda de secuencias,psicotecnico_atencion,media,"Indique cuántas veces se encuentra incluida exactamente y en la misma secuencia la
siguiente serie pNMeqbFY:",5,3,4,2,B,2017_Cuestionario1.CAM.pdf
2017-E1-010,2017,1,10,,Búsqueda de secuencias,psicotecnico_atencion,media,"Indique cuántas veces se encuentra incluida exactamente y en la misma secuencia la
siguiente serie pMNeqbFy:",3,4,5,6,A,2017_Cuestionario1.CAM.pdf
2017-E1-011,2017,1,11,,Búsqueda de secuencias,psicotecnico_atencion,media,"Indique cuántas veces se encuentra incluida exactamente y en la misma secuencia la
siguiente serie pMNebqFY:",1,Ninguna,2,3,B,2017_Cuestionario1.CAM.pdf
2017-E1-012,2017,1,12,,Búsqueda de secuencias,psicotecnico_atencion,media,"Indique cuántas veces se encuentra incluida exactamente y en la misma secuencia la
siguiente serie pNMbqeFY :",5,8,7,6,D,2017_Cuestionario1.CAM.pdf
2017-E1-013,2017,1,13,,Búsqueda de secuencias,psicotecnico_atencion,media,"Indique cuántas veces se encuentra incluida exactamente y en la misma secuencia la
siguiente serie pNMeqdYF:",4,3,2,"5 difusión o comunicación pública por cualquier medio o en cualquier forma, salvo persona o entidad autorizada a tal efecto.",C,2017_Cuestionario1.CAM.pdf
2017-E1-014,2017,1,14,,Series de letras,psicotecnico_logico,baja,b a z y d c x,w,v,y,u,A,2017_Cuestionario1.CAM.pdf
2017-E1-015,2017,1,15,,Series de letras,psicotecnico_logico,baja,a b f g k l o,q,p,ñ,r,B,2017_Cuestionario1.CAM.pdf
2017-E1-016,2017,1,16,,Series de letras,psicotecnico_logico,baja,"ñ m q j u f z . . . . . .
A) n b x B) a C) D)",[ver PDF original],[ver PDF original],[ver PDF original],[ver PDF original],D,2017_Cuestionario1.CAM.pdf
2017-E1-017,2017,1,17,,Series de letras,psicotecnico_logico,baja,z y c d v u g,f i h,t,,"difusión o comunicación pública por cualquier medio o en cualquier forma, salvo persona o entidad autorizada a tal efecto",C,2017_Cuestionario1.CAM.pdf
2017-E1-018,2017,1,18,,Razonamiento verbal,psicotecnico_verbal,baja,"Observe el siguiente grupo de palabras:
estío - estrépito - cesión - desprecio - lustre
Indique la respuesta A, B, C o D que contenga un sinónimo para cada una de las palabras
del grupo observado",confluencia / desdén / renuncia / esplendor / verano,renuncia / esplendor / verano / ostentación / desdén,ostentación / verano / extensión / renuncia / desdén,esplendor / desdén / ostentación / lentitud / verano,B,2017_Cuestionario1.CAM.pdf
2017-E1-019,2017,1,19,,Razonamiento verbal,psicotecnico_verbal,baja,"Observe el siguiente grupo de palabras:
ropero - pócima - garganta - doblez - rastrillo
Indique la respuesta A, B, C o D que contenga un sinónimo para cada una de las palabras
del grupo observado",mercadillo / estrechura / malicia / cocimiento / efigie,armario / fuste / mercadillo / estrechura / cocimiento,cocimiento / malicia / armario / advertencia / mercadillo,malicia / mercadillo / armario / cocimiento / estrechura,D,2017_Cuestionario1.CAM.pdf
2017-E1-020,2017,1,20,,Razonamiento verbal,psicotecnico_verbal,baja,"La velocidad de escaneado de un escáner es de 35 páginas por minuto para documentos
en tamaño A4 y 20 páginas por minuto para documentos en tamaño A3. Hay que
escanear 308 expedientes con 60 páginas cada uno en tamaño A4 y 400 expedientes
con 38 páginas cada uno en tamaño A3. ¿Cuánto tiempo se tarda en total?",15 horas y 28 minutos,15 horas y 47 minutos,"7 horas, 41 minutos y 22 segundos",12 horas y 8 minutos,ANULADA,2017_Cuestionario1.CAM.pdf
2017-E1-021,2017,1,21,,Razonamiento verbal,psicotecnico_verbal,baja,"Se hace un pedido de 3 conceptos: 430 bolígrafos al precio unitario de 1,20 euros (IVA no
incluido) cada bolígrafo; 45 paquetes de papel de A4 a 7,26 euros (IVA incluido) cada
paquete; 2.800 carpetas a 6,06 euros (IVA no incluido) cada carpeta. Si el IVA de todos
los conceptos es del 21%, ¿cuál es el importe de la factura, IVA no incluido?","21.425,64 euros","17.810,70 euros","17.754,00 euros","21.482,34 euros difusión o comunicación pública por cualquier medio o en cualquier forma, salvo persona o entidad autorizada a tal efecto",C,2017_Cuestionario1.CAM.pdf
2017-E1-022,2017,1,22,,Razonamiento verbal,psicotecnico_verbal,baja,"Observe el siguiente grupo de palabras:
recalcitrar - frasear - arremeter - iterar - solapar
Indique la respuesta A, B, C o D que contenga un sinónimo para cada una de las palabras
del grupo observado",enunciar / localizar / ocultar / acometer / resistir,enunciar / ocultar / acaparar / resistir / acometer,repetir / enunciar / acometer / ocultar / licuar,acometer / resistir / repetir / enunciar / ocultar,D,2017_Cuestionario1.CAM.pdf
2017-E1-023,2017,1,23,,Razonamiento verbal,psicotecnico_verbal,baja,"Observe el siguiente grupo de palabras:
extremado - primoroso - flamante - apacible - bonancible
Indique la respuesta A, B, C o D que contenga un sinónimo para cada una de las palabras
del grupo observado",sereno / excesivo / delicado / rugoso / agradable,lúcido / delicado / agradable / excesivo / sereno,agradable / estepario / lúcido / sereno / delicado,noctámbulo / delicado / agradable / excesivo / sereno,B,2017_Cuestionario1.CAM.pdf
2017-E1-024,2017,1,24,,Porcentajes,psicotecnico_numerico,media,"¿Cuál es el valor del 3,1% del 82,5% de 3.840?","98,208","1,443","9.820,800","1.021,935",A,2017_Cuestionario1.CAM.pdf
2017-E1-025,2017,1,25,,Fracciones,psicotecnico_numerico,media,"Del presupuesto disponible en un departamento para material fungible, se gastan 4/13 del
mismo. Más tarde se recibe la aportación de 81,00 euros. Posteriormente se gastan 2/9
de la cantidad disponible en ese momento. Quedan 2.604,00 euros. ¿Cuál era el
presupuesto inicial? Tenga en cuenta que el cálculo se ha realizado redondeando a dos
decimales","5.367,11 euros","4.253,11 euros","4.685,57 euros","4.719,00 euros difusión o comunicación pública por cualquier medio o en cualquier forma, salvo persona o entidad autorizada a tal efecto. En una base de datos, tenemos una lista de personas empleadas en un centro, registradas mediante un código de identificación, con su fecha de ingreso en el centro, número de horas dedicadas a formación y teléfono móvil: CÓDIGO DE NÚMERO DE HORAS FECHA DE INGRESO IDENTIFICACIÓN DE DEDICADAS A TELÉFONO MÓVIL EN EL CENTRO LA PERSONA FORMACIÓN 884ABD 02/02/2012 234 638 256 323 562GGA 18/04/2012 123 699 320 415 190LKU 05/06/2012 67 605 503 488 562TYN 06/04/2012 226 638 541 724 484FEH 07/09/2012 301 653 281 455 526ABR 03/05/2012 78 699 234 441 448VRW 09/04/2012 93 699 101 214 327BFA 09/08/2012 98 649 702 542 901ARC 14/04/2012 234 628 254 393 884UQP 07/05/2012 127 617 231 346 562YGF 14/04/2012 125 653 923 870 109BDR 23/04/2012 116 659 131 405 723EAY 20/04/2012 291 653 120 903 190HLN 09/06/2012 312 632 587 624 256PGK 08/03/2012 145 638 207 129 448NMD 08/05/2012 254 659 452 790 723KMZ 10/04/2012 241 605 924 215 562PTS 01/07/2012 182 649 576 820 901GTU 11/03/2012 158 699 324 782 526TTB 11/04/2012 320 653 871 291 273FTV 11/05/2012 196 632 100 211 910DBL 30/03/2012 156 649 102 453 488EER 08/07/2012 252 659 776 810 526HIH 03/08/2012 299 638 309 254 723YET 18/04/2012 310 617 402 435 448DWG 22/05/2012 174 628 432 781 848BCM 11/06/2012 213 605 078 955 562GKU 10/02/2012 113 628 500 326 448VNN 22/04/2012 131 649 408 900 723SSC 09/02/2012 218 632 411 475 Las personas pertenecen a distintos departamentos, según los tres dígitos iniciales de su Código de identificación: DEPARTAMENTOS PERSONAS CUYOS CÓDIGOS EMPIECEN POR ESTOS DÍGITOS Contabilidad 190 / 848 / 526 / 327 Recursos Humanos 723 / 910 / 884 Informática 562 / 448 Publicidad 488 / 901 Producción 256 / 273 / 109 / 484 difusión o comunicación pública por cualquier medio o en cualquier forma, salvo persona o entidad autorizada a tal efecto. A su vez, el expediente de las personas se encuentra archivado según su fecha de ingreso en el centro: ARCHIVADOR FECHA DE INGRESO EN EL CENTRO EZF/4 Entre el 01/02/2012 y el 07/04/2012 ZZF/4 Entre el 08/04/2012 y el 01/05/2012 EPP/3 Entre el 02/05/2012 y el 07/06/2012 PEP/3 Entre el 08/06/2012 y el 01/08/2012 ZPE/4 Entre el 02/08/2012 y el 08/09/2012",D,2017_Cuestionario1.CAM.pdf
2017-E1-026,2017,1,26,,Tablas de datos,psicotecnico_atencion,media,"Indique cuántas personas que hayan ingresado antes del 10/05/2012 tienen un teléfono
que acabe en 5 y, a la vez, contenga un 3:",5,4,6,7,B,2017_Cuestionario1.CAM.pdf
2017-E1-027,2017,1,27,,Tablas de datos,psicotecnico_atencion,alta,"Indique cuántas personas del departamento de Recursos Humanos, con más de 120
horas de formación, tienen sus expedientes guardados en el archivador EPP/3:",2,Ninguna,1,3,C,2017_Cuestionario1.CAM.pdf
2017-E1-028,2017,1,28,,Tablas de datos,psicotecnico_atencion,media,"Indique cuántas personas con más de 132 horas dedicadas a la formación tienen un
teléfono que empieza por 638 y, a la vez, contiene un 7 en el número de teléfono:",3,5,4,2,D,2017_Cuestionario1.CAM.pdf
2017-E1-029,2017,1,29,,Tablas de datos,psicotecnico_atencion,media,Indique cuántas personas pertenecen al departamento de Informática:,9,10,8,7,A,2017_Cuestionario1.CAM.pdf
2017-E1-030,2017,1,30,,Tablas de datos,psicotecnico_atencion,alta,Indique cuántos expedientes están guardados en el archivador PEP/3:,4,6,7,5,A,2017_Cuestionario1.CAM.pdf
2017-E1-031,2017,1,31,,Tablas de datos,psicotecnico_atencion,alta,"Indique cuántas personas del departamento de Contabilidad con más de 90 horas de
formación, tienen sus expedientes guardados en el archivador ZZF/4:",3,1,2,4,B,2017_Cuestionario1.CAM.pdf
2017-E1-032,2017,1,32,,Tablas de datos,psicotecnico_atencion,media,"Indique cuántas personas han ingresado en el centro entre el 20/06/2012 y el
05/09/2012:",2,3,4,1,C,2017_Cuestionario1.CAM.pdf
2017-E1-033,2017,1,33,,Tablas de datos,psicotecnico_atencion,alta,Indique cuántos expedientes están guardados en el archivador EZF/4 :,10,8,9,7,D,2017_Cuestionario1.CAM.pdf
2017-E1-034,2017,1,34,,Tablas de datos,psicotecnico_atencion,alta,"Indique cuántas personas del departamento de Publicidad tienen sus expedientes
guardados en el archivador ZPE/4:",1,Ninguna,2,"3 difusión o comunicación pública por cualquier medio o en cualquier forma, salvo persona o entidad autorizada a tal efecto.",B,2017_Cuestionario1.CAM.pdf
2017-E1-035,2017,1,35,,Series de letras,psicotecnico_logico,baja,z y v u r q ñ,n,o,m,p,A,2017_Cuestionario1.CAM.pdf
2017-E1-036,2017,1,36,,Series de letras,psicotecnico_logico,baja,b a a h g g n,o,n,ñ,m,D,2017_Cuestionario1.CAM.pdf
2017-E1-037,2017,1,37,,Series de letras,psicotecnico_logico,baja,"g i a o q b x . . . . . .
A) c d z B) y C) D)",[ver PDF original],[ver PDF original],[ver PDF original],[ver PDF original],C,2017_Cuestionario1.CAM.pdf
2017-E1-038,2017,1,38,,Series de letras,psicotecnico_logico,baja,z x t r ñ m i,h g f,e,,Indique cuántas palabras contienen algún error ortográfico en cada uno de los siguientes grupos de palabras:,B,2017_Cuestionario1.CAM.pdf
2017-E1-039,2017,1,39,,Ortografía,psicotecnico_verbal,baja,"exacerbar, habilidad, yelmo, ehuforia, selladura,
ventisca, tracción, probocador, abadejo, asiológico",3,4,5,2,A,2017_Cuestionario1.CAM.pdf
