tema,pregunta,respuesta,dificultad
"Hacienda y presupuestos","Que competencia exclusiva tiene el Estado segun el articulo 149.1.14 CE?","Hacienda general y Deuda del Estado.","baja"
"Hacienda y presupuestos","A quien corresponde la potestad originaria para establecer tributos segun el articulo 133 CE?","Exclusivamente al Estado, mediante ley.","media"
"Hacienda y presupuestos","Que deber recoge el articulo 31 CE?","El deber de contribuir al sostenimiento de los gastos publicos segun la capacidad economica, con un sistema tributario justo, igualitario y progresivo, sin alcance confiscatorio.","media"
"Hacienda y presupuestos","Que reconoce el articulo 156 CE?","La autonomia financiera de las Comunidades Autonomas para el desarrollo y ejecucion de sus competencias.","media"
"Hacienda y presupuestos","Que norma desarrolla el marco constitucional de la financiacion autonomica?","La Ley Organica de Financiacion de las Comunidades Autonomas (LOFCA).","media"
"Hacienda y presupuestos","Que ley regula la Hacienda de la Comunidad de Madrid?","La Ley 9/1990, de 8 de noviembre.","baja"
"Hacienda y presupuestos","Cuales son los principios de actuacion de la Comunidad de Madrid en materia de Hacienda Publica?","Legalidad, eficacia, control, universalidad, solidaridad intrarregional y coordinacion entre sus organos y entidades.","media"
"Hacienda y presupuestos","Es eficiencia el termino correcto en la formula historica de principios de Hacienda de la Comunidad de Madrid?","No. La formula historica usa eficacia, no eficiencia.","alta"
"Hacienda y presupuestos","Es solidaridad interregional el termino correcto en esos principios?","No. La formula historica usa solidaridad intrarregional.","alta"
"Hacienda y presupuestos","Que organo es el superior de la Administracion de la Comunidad de Madrid en materias de la Ley 9/1990?","La Consejeria de Hacienda.","media"
"Hacienda y presupuestos","Aprueba la Consejeria de Hacienda la Ley de Presupuestos?","No. Es organo superior en la materia, pero la Ley de Presupuestos la aprueba la Asamblea de Madrid.","alta"
"Hacienda y presupuestos","En que principio se inspira la Tesoreria de la Comunidad de Madrid?","En el principio de caja unica.","media"
"Hacienda y presupuestos","Que caracteristicas tiene el presupuesto de la Comunidad de Madrid segun la formula historica?","Es anual, unico, por programas, con indicacion de objetivos de actuacion, e incluye la totalidad de ingresos y gastos del sector publico de la Comunidad.","media"
"Hacienda y presupuestos","Quien aprueba la Ley de Presupuestos Generales de la Comunidad de Madrid?","La Asamblea de Madrid.","baja"
"Hacienda y presupuestos","Que aprueba el Consejo de Gobierno en el ciclo presupuestario?","El proyecto de Ley de Presupuestos, para remitirlo a la Asamblea.","media"
"Hacienda y presupuestos","Que ocurre si la Ley de Presupuestos no se aprueba antes del primer dia del ejercicio?","Se prorrogan automaticamente los presupuestos del ejercicio anterior hasta la publicacion de los nuevos en el BOCM y su entrada en vigor.","alta"
"Hacienda y presupuestos","En que boletin se publica la Ley de Presupuestos de la Comunidad de Madrid?","En el BOCM, no en el BOE.","media"
"Hacienda y presupuestos","Que supuesto estaba sometido a intervencion previa segun la pregunta historica de 2017?","Los gastos mayores de 5.000 euros que se hagan efectivos por anticipos de caja fija.","alta"
"Hacienda y presupuestos","Estan sometidas a intervencion previa las subvenciones con asignacion nominativa en los Presupuestos?","No, segun la pregunta historica esa opcion no estaba sometida a intervencion previa.","alta"
"Hacienda y presupuestos","Que es la intervencion previa?","Un control interno que fiscaliza actos de contenido economico antes de su aprobacion o eficacia economica definitiva.","media"
"Hacienda y presupuestos","Que organo realiza el control interno de la Hacienda de la Comunidad de Madrid?","La Intervencion General.","baja"
"Hacienda y presupuestos","Que organo realiza el control externo de las cuentas de la Comunidad de Madrid?","La Camara de Cuentas, y el Tribunal de Cuentas en su ambito.","baja"
"Hacienda y presupuestos","Que principio presupuestario exige incluir todos los ingresos y gastos?","El principio de universalidad.","baja"
"Hacienda y presupuestos","Que principio presupuestario establece que el presupuesto se refiere a un ejercicio economico?","El principio de anualidad.","baja"
"Hacienda y presupuestos","Que es un credito presupuestario?","La autorizacion maxima para gastar en una finalidad determinada.","baja"
"Hacienda y presupuestos","Que diferencia hay entre credito extraordinario y suplemento de credito?","El credito extraordinario se usa cuando no existe credito para un gasto que no puede demorarse; el suplemento cuando el credito existente es insuficiente.","media"
"Hacienda y presupuestos","A que responde la clasificacion organica del presupuesto?","A quien gasta.","baja"
"Hacienda y presupuestos","A que responde la clasificacion por programas del presupuesto?","A los objetivos o politicas publicas para los que se gasta.","baja"
"Hacienda y presupuestos","Que tipo de gasto corresponde al capitulo 1 de gastos?","Gastos de personal.","media"
"Hacienda y presupuestos","Que tipo de gasto corresponde al capitulo 6 de gastos?","Inversiones reales.","media"
"Hacienda y presupuestos","Que tipo de ingreso corresponde al capitulo 1 de ingresos?","Impuestos directos.","media"
"Hacienda y presupuestos","Que significa el reconocimiento de la obligacion en la ejecucion del gasto?","Que se acredita que procede pagar.","media"
"Hacienda y presupuestos","Cuales son las fases de la ejecucion del gasto, en orden?","Autorizacion, disposicion o compromiso, reconocimiento de la obligacion, ordenacion del pago y pago material.","alta"
"Hacienda y presupuestos","Que muestra la liquidacion del presupuesto?","El resultado de la ejecucion presupuestaria al cierre del ejercicio.","media"
"Hacienda y presupuestos","Que recursos pueden financiar a una Comunidad Autonoma?","Tributos propios, tributos cedidos, recargos, transferencias, ingresos patrimoniales y operaciones de credito, entre otros.","media"
