tema,pregunta,respuesta,dificultad
"Contratos del sector publico","Que ley regula la contratacion del sector publico?","Ley 9/2017, de 8 de noviembre (LCSP).","baja"
"Contratos del sector publico","Cita los principios generales de la contratacion publica segun la LCSP.","Libertad de acceso a las licitaciones, publicidad y transparencia, no discriminacion e igualdad de trato entre licitadores.","media"
"Contratos del sector publico","Que tipo de criterios deben incorporarse de forma transversal y preceptiva a la contratacion publica?","Criterios sociales y medioambientales, siempre que guarden relacion con el objeto del contrato.","media"
"Contratos del sector publico","Que limites tiene la libertad de pactos del articulo 34 LCSP?","No ser contrarios al interes publico, al ordenamiento juridico ni a los principios de buena administracion.","alta"
"Contratos del sector publico","Esta permitida la contratacion verbal en el sector publico?","No, salvo que el contrato tenga caracter de emergencia.","media"
"Contratos del sector publico","Cual es el valor estimado maximo para que un contrato de obras sea contrato menor?","Inferior a 40.000 euros.","baja"
"Contratos del sector publico","Cual es el valor estimado maximo para que un contrato de suministro o de servicios sea contrato menor?","Inferior a 15.000 euros.","baja"
"Contratos del sector publico","Los importes del contrato menor, incluyen el IVA?","No, se entienden sin IVA, como valor estimado.","media"
"Contratos del sector publico","Que contratos estan excluidos de la LCSP como ejemplo historico de examen?","Los servicios de arbitraje y conciliacion.","media"
"Contratos del sector publico","Que regimen tienen las relaciones laborales dentro del sector publico a efectos de contratacion?","Se rigen por la normativa laboral, no por la LCSP.","media"
"Contratos del sector publico","En que consiste el contrato de obras?","La ejecucion de una obra o trabajos de construccion, reforma, reparacion, conservacion o demolicion.","baja"
"Contratos del sector publico","Que caracteriza a la concesion de obras frente al contrato de obras?","Que ademas de la obra, el concesionario la explota asumiendo riesgo operacional.","media"
"Contratos del sector publico","En que consiste la concesion de servicios?","Un poder adjudicador encomienda a un concesionario la gestion de un servicio de su titularidad, con transferencia de riesgo operacional.","media"
"Contratos del sector publico","Que tiene por objeto el contrato de suministro?","La adquisicion, el arrendamiento financiero o el arrendamiento, con o sin opcion de compra, de productos o bienes muebles.","baja"
"Contratos del sector publico","Se consideran suministro las propiedades incorporales o los valores negociables?","No, quedan fuera de la definicion de suministro.","alta"
"Contratos del sector publico","Que tiene por objeto el contrato de servicios?","Prestaciones de hacer consistentes en una actividad o un resultado distinto de obra o suministro.","media"
"Contratos del sector publico","Que es un contrato mixto?","El que contiene prestaciones correspondientes a distintos tipos contractuales.","media"
"Contratos del sector publico","Que diferencia hay entre contratos administrativos y contratos privados del sector publico?","Los administrativos se rigen por la LCSP y sus prerrogativas; los privados combinan preparacion/adjudicacion publica con efectos y extincion segun Derecho privado.","alta"
"Contratos del sector publico","Que acredita la solvencia de un contratista?","Su capacidad economica, financiera y tecnica o profesional para ejecutar el contrato.","media"
"Contratos del sector publico","Puede fraccionarse el objeto de un contrato para eludir los requisitos de publicidad o procedimiento?","No, no puede fraccionarse indebidamente con esa finalidad.","media"
"Contratos del sector publico","Que es el presupuesto base de licitacion?","El limite maximo de gasto que puede comprometer el organo de contratacion, IVA incluido salvo desglose.","alta"
"Contratos del sector publico","Que es el valor estimado de un contrato?","La magnitud usada para determinar el regimen juridico y procedimiento aplicable; no incluye IVA.","alta"
"Contratos del sector publico","Que regula el pliego de clausulas administrativas particulares?","Derechos, obligaciones, criterios de adjudicacion y regimen juridico del contrato.","media"
"Contratos del sector publico","Que regula el pliego de prescripciones tecnicas?","Las caracteristicas tecnicas de la prestacion.","media"
"Contratos del sector publico","Que documento justifica la necesidad e idoneidad de un contrato antes de su adjudicacion?","La memoria justificativa, dentro del expediente de contratacion.","media"
"Contratos del sector publico","En el procedimiento abierto, quien puede presentar proposicion?","Todo empresario interesado.","baja"
"Contratos del sector publico","En el procedimiento restringido, quien presenta oferta?","Solo las empresas seleccionadas, tras un proceso previo de solicitud de participacion.","media"
"Contratos del sector publico","En que consiste el procedimiento negociado?","El organo de contratacion negocia las condiciones del contrato con uno o varios candidatos.","media"
"Contratos del sector publico","Para que se usa el dialogo competitivo?","Para contratos complejos, dialogando con los candidatos para definir las soluciones.","alta"
"Contratos del sector publico","Para que sirve la asociacion para la innovacion?","Para desarrollar productos, servicios u obras innovadores y adquirirlos despues.","alta"
"Contratos del sector publico","Para que se usa el concurso de proyectos?","Para seleccionar planes o proyectos, especialmente en arquitectura, urbanismo o ingenieria.","alta"
"Contratos del sector publico","En que debe basarse normalmente la adjudicacion de un contrato publico?","En la mejor relacion calidad-precio, mediante pluralidad de criterios.","media"
"Contratos del sector publico","Deben estar los criterios de adjudicacion vinculados al objeto del contrato?","Si, y formularse de forma objetiva respetando igualdad, no discriminacion, transparencia y proporcionalidad.","media"
"Contratos del sector publico","Cita alguna prerrogativa de la Administracion en los contratos administrativos.","Interpretar el contrato, modificarlo por razones de interes publico, o acordar su resolucion (entre otras).","alta"
"Contratos del sector publico","Como deben ejercerse las prerrogativas de la Administracion sobre el contratista?","Con procedimiento y dando audiencia al contratista.","alta"
