id,anyo,ejercicio,numero,tema,subtema,tipo,dificultad,pregunta,opcion_A,opcion_B,opcion_C,opcion_D,respuesta_correcta,fuente,procedencia
ACA-PSI-059-001,,,1,,Regla de tres compuesta,psicotecnico_numerico,alta,Nueve grifos abiertos durante 10 horas diarias han consumido una cantidad de agua por valor de 12 euros. Averiguar el precio del vertido de 15 grifos abiertos 12 horas durante los mismos dias.,24 euros,6 euros,25 euros,32 euros,A,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-002,,,2,,Regla de tres compuesta,psicotecnico_numerico,alta,5 obreros trabajando 6 horas diarias construyen un muro en 2 dias. Cuanto tardaran 4 obreros trabajando 7 horas diarias?,1.71 dias,"2,14 dias",1.92 dias,"2,65 dias",B,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-003,,,3,,Regla de tres compuesta,psicotecnico_numerico,alta,Si 8 obreros realizan en 9 dias trabajando a razon de 6 horas por dia un muro de 30 m. Cuantos dias necesitaran 10 obreros trabajando 8 horas diarias para realizar los 50 m de muro que faltan?,25,1,9,18,C,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-004,,,4,,Regla de tres compuesta,psicotecnico_numerico,alta,"Si 7 mineros en 21 dias cavan 49 metros, cuantos metros cavaran 14 mineros en 35 dias?","163,3",82.5,"33,6",18,A,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-005,,,5,,Proporcionalidad,psicotecnico_numerico,media,Durante doce dias una familia compuesta por 6 personas ha gastado 900 euros en alimentacion. Cuanto gastaria una pareja en 20 dias?,250,400,500,180,C,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-006,,,6,,Regla de tres compuesta,psicotecnico_numerico,alta,Para alimentar durante 24 dias a 40 trabajadores de una empresa se necesitan 192 barras de pan. Cuantas barras de pan habra que comprar para alimentar a 65 personas durante 80 dias?,1040,"9,35","3,52",700,A,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-007,,,7,,Regla de tres compuesta,psicotecnico_numerico,alta,Cinco artesanos hacen 60 anillos en 15 dias. Si se desean hacer 150 anillos en 25 dias. Cuantos artesanos se deben contratar?,20,22,21,23,C,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-008,,,8,,Regla de tres compuesta,psicotecnico_numerico,alta,Trece caballos en 4 dias consumen 30 kg de alimento. Cuantos dias podran alimentarse a 8 caballos con 60 kg de pienso?,5,4,12,13,D,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-009,,,9,,Regla de tres compuesta,psicotecnico_numerico,alta,"Por enviar 5 kg a un pueblo que esta a 60 km de distancia, una empresa me ha cobrado 9 euros. Cuanto me costara enviar un paquete de 8 kg a 200 km de distancia?","112,5","1,125",48,36,C,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-010,,,10,,Regla de tres compuesta,psicotecnico_numerico,alta,"En 9 dias cuatro obreros, trabajando 5 horas cada dia, han ganado un total de 1200 euros. Cuanto ganaran diez obreros, en 10 dias, trabajando 6 horas cada dia?",2700,518.4,3000,4000,D,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
