tema,pregunta,respuesta,dificultad
"Outlook","Qué gestiona Outlook en Microsoft 365?","Correo electrónico, calendario, contactos y tareas de organización personal.","baja"
"Outlook","Cuál es la versión oficial de Outlook para la convocatoria 2026?","Microsoft 365 versión escritorio.","baja"
"Outlook","Dónde esta el comando Nuevo mensaje de correo electrónico en Outlook clasico?","En la pestana Inicio.","baja"
"Outlook","Diferencia de uso principal entre Outlook y Teams?","Outlook es correo, calendario y contactos; Teams es colaboración, chat, equipos y videoconferencias.","media"
"Outlook","Qué es un buzon en Outlook?","El espacio donde se almacenan mensajes, carpetas y el calendario asociado.","baja"
"Outlook","Qué contiene la carpeta Bandeja de salida?","Mensajes pendientes de envio.","baja"
"Outlook","Diferencia entre Bandeja de salida y Elementos enviados?","Salida tiene mensajes pendientes de enviar; Enviados contiene los ya remitidos.","media"
"Outlook","Qué contiene la carpeta Borradores?","Mensajes redactados pero no enviados.","baja"
"Outlook","Diferencia entre Borradores y Elementos enviados?","Un borrador todavia no ha salido; un elemento enviado ya ha sido remitido.","media"
"Outlook","Para que sirve la pestana Archivo (vista Backstage) en Outlook?","Para configurar y administrar Outlook (cuenta, reglas y alertas, complementos, opciones), no para redactar mensajes.","media"
"Outlook","Dónde se gestionan las reglas avanzadas de Outlook?","En Archivo, Administrar reglas y alertas.","media"
"Outlook","Para que sirve el campo Para?","Para indicar los destinatarios principales del mensaje.","baja"
"Outlook","Qué tipo de copia es el campo CC?","Copia visible para otros destinatarios.","baja"
"Outlook","Qué significa CCO y que tipo de copia es?","Con copia oculta; los demas destinatarios no ven esa dirección.","baja"
"Outlook","Es CC una copia oculta?","No. CC es visible; CCO es la copia oculta.","media"
"Outlook","Para que usa Outlook el asunto del mensaje?","Para identificar el contenido, agrupar conversaciones y facilitar búsquedas.","baja"
"Outlook","Qué prefijo del asunto indica una respuesta?","RE:","baja"
"Outlook","Qué prefijo indica un reenvio, según la clave histórica documentada en el proyecto?","FW:","media"
