tema,pregunta,respuesta,dificultad
"Word","Que comando permite guardar un documento ya abierto con un nombre distinto?","Guardar como.","baja"
"Word","Que diferencia hay entre Guardar y Guardar como?","Guardar actualiza el archivo abierto; Guardar como permite cambiar nombre, ubicacion o formato.","baja"
"Word","Que es el interlineado?","El espacio vertical entre las lineas de un parrafo.","baja"
"Word","El interlineado es formato de fuente o de parrafo?","De parrafo.","media"
"Word","Que hace la sangria izquierda de un parrafo?","Desplaza el parrafo hacia la derecha respecto al margen izquierdo, sin cambiar el margen de la pagina.","media"
"Word","Cita ejemplos de formato de fuente en Word.","Tipo de letra, tamano, negrita, cursiva, subrayado y color de fuente.","baja"
"Word","Cita ejemplos de formato de parrafo en Word.","Alineacion, sangria, interlineado y espaciado anterior o posterior.","baja"
"Word","Que diferencia hay entre una lista con vinetas y una lista numerada?","La de vinetas usa un simbolo; la numerada usa un numero, letra u otro esquema de orden.","baja"
"Word","Que es una seccion en un documento de Word?","Una parte del documento que puede tener configuracion propia, como orientacion, margenes o encabezado distintos.","media"
"Word","Que diferencia hay entre un salto de pagina y un salto de seccion?","El salto de pagina solo fuerza el inicio en otra pagina; el salto de seccion permite ademas cambiar la configuracion.","alta"
"Word","Que es un estilo en Word?","Un conjunto guardado de formatos que se puede aplicar de forma uniforme a texto o parrafos.","baja"
"Word","Para que sirve el panel de navegacion en Word?","Para moverse por los titulos, paginas o resultados de busqueda del documento.","media"
"Word","En que se basa la tabla de contenido automatica de Word?","En los estilos de titulo aplicados al documento.","media"
"Word","En que se basa el indice alfabetico de Word?","En entradas marcadas manualmente en el texto.","alta"
"Word","Que diferencia hay entre tabla de contenido e indice alfabetico?","La tabla de contenido usa estilos de titulo; el indice alfabetico usa entradas marcadas a mano.","alta"
"Word","Que es una referencia cruzada en Word?","Un enlace a un titulo, nota, pagina u otro elemento ya existente del documento.","media"
"Word","Que combina la combinacion de correspondencia?","Un documento principal con una lista de destinatarios.","media"
"Word","Es la combinacion de correspondencia lo mismo que una lista numerada?","No. Une un documento principal con una fuente de datos externa de destinatarios.","alta"
"Word","Que registra el control de cambios en Word?","Las inserciones, eliminaciones y modificaciones realizadas en el documento.","media"
"Word","Que diferencia hay entre control de cambios e historial de versiones?","El control de cambios registra modificaciones dentro del documento; el historial de versiones depende del archivo guardado, por ejemplo en OneDrive o SharePoint.","alta"
"Word","Que es un comentario en Word?","Una anotacion de revision que no modifica directamente el texto principal.","baja"
"Word","Que ruta permite recuperar una version de Autoguardado de un documento?","Archivo, Informacion, Administrar documento.","media"
"Word","Donde se consultan las propiedades basicas de un documento de Word?","En Archivo, Informacion.","baja"
"Word","Que ruta permite anadir propiedades personalizadas a un documento?","Archivo, Informacion, Propiedades, Propiedades avanzadas.","alta"
"Word","Para que sirve la opcion Inspeccionar documento?","Para buscar metadatos ocultos, comentarios u otra informacion antes de compartir el archivo.","media"
"Word","Es lo mismo Inspeccionar documento que anadir propiedades personalizadas?","No. Las propiedades personalizadas se anaden desde Propiedades avanzadas, no desde Inspeccionar documento.","alta"
"Word","Que opcion permite restringir la edicion o marcar un documento como final?","Proteger documento.","media"
"Word","Como se inserta el contenido de otro documento dentro de un documento de Word?","Insertar, grupo Texto, Objeto.","media"
"Word","Que elemento se usa para colocar texto en un contenedor independiente, sin ser un documento completo?","Cuadro de texto.","media"
"Word","Que formato de archivo de Word puede contener macros?","La extension .docm","media"
"Word","Que es una plantilla con extension .dotx?","Una plantilla de Word sin macros.","media"
"Word","Que funcion permite localizar palabras dentro de un documento abierto?","Buscar.","baja"
"Word","Que diferencia hay entre Buscar y Reemplazar?","Buscar localiza texto; Reemplazar lo sustituye por otro si se confirma la operacion.","baja"
"Word","Que hace la opcion Reemplazar todo?","Modifica todas las coincidencias encontradas en el documento.","media"
"Word","En busquedas con comodines de Word, para que sirve el signo de exclamacion de cierre dentro de corchetes?","Para excluir los caracteres incluidos en ese conjunto.","alta"
"Word","Cual es la vista que muestra el aspecto que tendra el documento al imprimirse?","Diseno de impresion.","baja"
"Word","Donde se gestionan la impresora, el numero de copias y el rango de paginas a imprimir?","En Archivo, Imprimir.","baja"
"Word","La configuracion de pagina (margenes, orientacion, tamano, columnas) pertenece a la vista de trabajo o al diseno del documento?","Al diseno del documento, no a la vista de trabajo.","media"
"Word","Que permite la barra de herramientas de acceso rapido?","Tener comandos frecuentes siempre visibles, sin depender de la pestana activa.","baja"
"Word","Que cambia el zoom en Word?","La visualizacion en pantalla, no el contenido del documento.","baja"
"Word","En el teclado espanol de Word, que hace Ctrl+G?","Guardar.","media"
"Word","En el teclado espanol de Word, que hace Ctrl+S?","Subrayado, no Guardar.","alta"
"Word","En el teclado espanol de Word, que hace F12?","Guardar como.","media"
"Word","En el teclado espanol de Word, que hace Ctrl+B?","Buscar.","media"
