tema,pregunta,respuesta,dificultad
"Ley 39/2015","Qué regula el artículo 1 de la Ley 39/2015?","Requisitos de validez y eficacia de los actos administrativos, procedimiento administrativo comun y principios de iniciativa normativa y potestad reglamentaria.","media"
"Ley 39/2015","Qué Administraciones integran el sector público a efectos de la Ley 39/2015?","AGE, Administraciones de las CCAA, Entidades Locales y sector público institucional.","baja"
"Ley 39/2015","Las universidades privadas estan incluidas por si mismas en el ambito subjetivo de la Ley 39/2015?","No. La ley incluye universidades públicas dentro del sector público institucional, no universidades privadas por ser privadas.","media"
"Ley 39/2015","Cómo se rigen las Corporaciones de Derecho Público en funciones públicas atribuidas o delegadas?","Por su normativa específica y supletoriamente por la Ley 39/2015.","media"
"Ley 39/2015","Quiénes pueden ser interesados en un procedimiento?","Quienes lo promueven como titulares de derechos o intereses legitimos, quienes puedan resultar afectados y quienes comparezcan antes de resolución definitiva con interes legitimo.","alta"
"Ley 39/2015","Qué derecho tiene el interesado sobre el estado del expediente?","Conocer el estado de tramitación del procedimiento.","baja"
"Ley 39/2015","El interesado debe aportar documentos que ya obren en poder de la Administración?","No, como regla general no debe aportar documentos ya aportados o elaborados por las Administraciones.","media"
"Ley 39/2015","Qué actos deben motivarse si se separan del criterio seguido en actuaciones precedentes?","Deben motivarse con sucinta referencia de hechos y fundamentos de derecho.","media"
"Ley 39/2015","Los actos discrecionales deben motivarse?","Si, los actos dictados en ejercicio de potestades discrecionales deben motivarse.","media"
"Ley 39/2015","Cómo se producen los actos administrativos según el artículo 36?","Por escrito a través de medios electrónicos, salvo que su naturaleza exija otra forma mas adecuada.","media"
"Ley 39/2015","Desde cuando producen efectos los actos administrativos?","Desde la fecha en que se dicten, salvo que en ellos se disponga otra cosa.","baja"
"Ley 39/2015","Qué significa la presunción de validez del acto administrativo?","Que el acto se presume válido y eficaz desde que se dicta, salvo excepción legal o disposición distinta.","media"
"Ley 39/2015","Cuándo debe cursarse una notificación?","Dentro de los 10 días desde la fecha en que el acto haya sido dictado.","media"
