tema,pregunta,respuesta,dificultad
"Documentos, registro y archivo","Que es un documento administrativo?","Todo soporte, en papel o electronico, que contiene informacion producida, recibida o conservada por una Administracion en ejercicio de sus competencias.","baja"
"Documentos, registro y archivo","Cita tres funciones de los documentos administrativos.","Constancia, comunicacion e impulso, entre otras; tambien decision, control, garantia y memoria.","media"
"Documentos, registro y archivo","Que caracteristica de un documento garantiza que no ha sido alterado indebidamente?","La integridad.","media"
"Documentos, registro y archivo","Que caracteristica de un documento permite identificar su autor y origen?","La autenticidad.","media"
"Documentos, registro y archivo","Que es una solicitud, como documento administrativo?","El documento que inicia un procedimiento a instancia del interesado.","baja"
"Documentos, registro y archivo","Que es una denuncia?","El acto por el que cualquier persona pone en conocimiento de un organo administrativo hechos que pueden justificar la iniciacion de oficio de un procedimiento.","media"
"Documentos, registro y archivo","Que es un recurso administrativo, como documento?","El documento por el que se impugna un acto administrativo solicitando su anulacion por nulidad o anulabilidad.","media"
"Documentos, registro y archivo","Que son las alegaciones?","Las manifestaciones y argumentos del interesado durante la tramitacion.","baja"
"Documentos, registro y archivo","Que es una declaracion responsable?","La manifestacion de cumplir determinados requisitos y comprometerse a mantenerlos.","media"
"Documentos, registro y archivo","Para que sirve un oficio administrativo?","Para la comunicacion formal entre organos o con interesados.","baja"
"Documentos, registro y archivo","Para que sirve un informe administrativo?","Para aportar un juicio tecnico o juridico que apoye una decision.","baja"
"Documentos, registro y archivo","Que diferencia hay entre una notificacion y una resolucion?","La resolucion decide el procedimiento; la notificacion es el medio por el que se comunica ese acto.","alta"
"Documentos, registro y archivo","Para que sirve un certificado administrativo?","Para acreditar datos o extremos que constan a la Administracion.","baja"
"Documentos, registro y archivo","Que es una diligencia?","El documento que hace constar una actuacion o circunstancia procedimental.","media"
"Documentos, registro y archivo","Que requisitos debe reunir un documento electronico administrativo?","Identificacion, contenido integro, firma o sello si procede, metadatos y garantias de conservacion, entre otros.","media"
"Documentos, registro y archivo","Que son los metadatos de un documento electronico?","Los datos que describen su contexto, estructura y gestion.","media"
"Documentos, registro y archivo","Que es el expediente administrativo?","El conjunto ordenado de documentos y actuaciones que sirven de antecedente y fundamento a la resolucion.","media"
"Documentos, registro y archivo","Para que sirve el indice electronico de un expediente?","Para garantizar su integridad y orden.","alta"
"Documentos, registro y archivo","A que organo se solicita la copia autentica de un documento publico administrativo?","Al organo que emitio el documento original.","media"
"Documentos, registro y archivo","En cuantos dias debe expedirse una copia autentica desde la recepcion de la solicitud en el registro competente?","En 15 dias.","media"
"Documentos, registro y archivo","Quien digitaliza los documentos presentados presencialmente ante la Administracion?","La oficina de asistencia en materia de registros.","baja"
"Documentos, registro y archivo","Que ocurre con el original en papel tras digitalizar un documento presentado presencialmente?","Se incorpora al expediente electronico y se devuelve el original al interesado, salvo excepciones.","media"
"Documentos, registro y archivo","Cuando se realiza la compulsa de un documento?","Cuando la norma reguladora del procedimiento lo requiera y se acompanen los originales.","alta"
"Documentos, registro y archivo","Cual es la funcion principal del registro administrativo?","Dejar constancia oficial de la presentacion, recepcion, entrada y salida de documentos.","baja"
"Documentos, registro y archivo","Cita tres datos que debe recoger un asiento registral.","Numero de registro, fecha y hora, e identificacion del interesado o remitente; tambien organo destinatario y extracto.","media"
"Documentos, registro y archivo","Que recoge el registro de entrada?","Los documentos que llegan a la Administracion, presentados por ciudadanos, empresas u otros organos.","baja"
"Documentos, registro y archivo","Durante cuanto tiempo esta disponible el Registro Electronico General de la Comunidad de Madrid?","Todos los dias del ano, durante las 24 horas.","baja"
"Documentos, registro y archivo","Que es el archivo, como concepto administrativo?","El conjunto organizado de documentos producidos o recibidos por una Administracion, o el centro que los conserva y gestiona.","baja"
"Documentos, registro y archivo","Que tipo de archivo conserva los expedientes vivos o de uso frecuente por la unidad tramitadora?","El archivo de oficina o de gestion.","media"
"Documentos, registro y archivo","Que tipo de archivo conserva expedientes finalizados de consulta administrativa frecuente?","El archivo central.","media"
"Documentos, registro y archivo","Que tipo de archivo conserva documentacion de baja frecuencia pendiente de valoracion y transferencia?","El archivo intermedio.","alta"
"Documentos, registro y archivo","Que tipo de archivo conserva documentos de forma permanente por su valor historico?","El archivo historico.","baja"
"Documentos, registro y archivo","Que diferencia hay entre clasificacion y ordenacion de documentos?","La clasificacion agrupa en grupos documentales; la ordenacion establece la secuencia dentro de cada grupo.","alta"
"Documentos, registro y archivo","Cita tres criterios de ordenacion de documentos.","Alfabetico, numerico y cronologico; tambien geografico, organico, funcional y por materias.","media"
"Documentos, registro y archivo","Puede limitarse el acceso a documentos administrativos?","Si, por motivos como proteccion de datos, seguridad publica, defensa o confidencialidad, entre otros.","media"
"Documentos, registro y archivo","Que es el acceso parcial a un documento?","Facilitar la informacion ocultando los datos afectados por algun limite.","media"
"Documentos, registro y archivo","Que diferencia hay entre copia simple y copia autentica?","La copia autentica tiene efectos administrativos reforzados; la simple no.","media"
