bloque,tema,materia,p2017,p2021,p2023,p2025,total,puntuación,prioridad,confianza,conceptos_prioritarios
I,1,Constitución,3,2,2,3,10,64,media,media,"valores; derechos; reforma"
I,2,Estatuto de Autonomía,4,3,3,2,12,67,media-alta,media,"Asamblea; competencias; organización"
I,3,Gobierno y Administración CAM,2,5,2,2,11,65,media-alta,media,"Consejo de Gobierno; consejerías; presidencia"
I,4,Fuentes del ordenamiento,3,0,2,2,7,47,baja,media,"ley orgánica; jerarquía; normas con rango de ley"
I,5,Acto administrativo,0,0,2,0,2,22,baja,baja,"nulidad; anulabilidad; eficacia"
I,6,Ley 39/2015,6,5,3,5,19,95,alta,media,"plazos; notificaciones; silencio; recursos; subsanación"
I,7,Jurisdicción contencioso-administrativa,3,0,2,2,7,47,baja,media,"órganos; plazos; recurso contencioso"
I,8,Transparencia y protección de datos,3,9,3,3,18,89,alta,media,"acceso; límites; publicidad activa; DPD"
I,9,Contratos del sector público,3,0,2,2,7,49,baja,media,"tipos; órganos; procedimientos"
I,10,EBEP y función pública,3,5,2,3,13,74,media-alta,media,"clases de personal; acceso; disciplina; incompatibilidades"
I,11,Seguridad Social,3,0,3,3,9,58,media,media,"afiliación; cotización; acción protectora"
I,12,Hacienda y presupuestos,3,0,2,2,7,48,baja,media,"presupuesto; créditos; tesorería"
I,13,"Igualdad, violencia y LGTBI",3,5,3,2,73,media-alta,alta,media,"igualdad; violencia; normativa LGTBI"
I,14,Atención y administración electrónica,4,5,2,2,13,73,media-alta,media,"canales; obligados; firma; copias; notificaciones"
I,15,"Documentos, registro y archivo",2,1,2,2,55,media,media,media,"registro; documentos; archivo"
II,16,Windows 10,0,0,6,6,12,92,alta,baja-media,"Explorador; búsquedas; herramientas"
II,17,Word,0,0,6,5,11,87,alta,baja-media,"documentos; búsqueda; formato; estilos"
II,18,Excel,0,0,6,6,12,95,alta,baja-media,"referencias; funciones; datos; tablas dinámicas"
II,19,Access y Power BI,0,0,4,7,11,92,alta,baja-media,"tablas; claves; consultas; importación"
II,20,Outlook,0,0,6,6,12,94,alta,baja-media,"destinatarios; reglas; conversaciones; calendario"
II,21,Microsoft 365,0,0,7,5,12,96,alta,baja-media,"Teams; SharePoint; colaboración; protocolos"
