tema,pregunta,respuesta,dificultad
"Igualdad, violencia y LGTBI","Que articulo constitucional recoge la igualdad ante la ley y la prohibicion de discriminacion?","Articulo 14 CE.","baja"
"Igualdad, violencia y LGTBI","Que articulo constitucional obliga a los poderes publicos a promover la igualdad real y efectiva?","Articulo 9.2 CE.","baja"
"Igualdad, violencia y LGTBI","Que diferencia hay entre igualdad formal e igualdad real?","La formal es igualdad ante la ley; la real exige medidas activas para corregir desigualdades efectivas.","media"
"Igualdad, violencia y LGTBI","Que es una accion positiva?","Una medida proporcionada para corregir una desigualdad de partida real.","media"
"Igualdad, violencia y LGTBI","Cual es el objeto principal de la LO 3/2007?","Hacer efectivo el derecho de igualdad de trato y de oportunidades entre mujeres y hombres.","baja"
"Igualdad, violencia y LGTBI","Segun el articulo 3 de la LO 3/2007, en que consiste el principio de igualdad de trato?","En la ausencia de toda discriminacion, directa o indirecta, por razon de sexo.","media"
"Igualdad, violencia y LGTBI","Que menciona especialmente el articulo 3 LO 3/2007 como causas de discriminacion por razon de sexo?","La maternidad, la asuncion de obligaciones familiares y el estado civil.","alta"
"Igualdad, violencia y LGTBI","Segun el articulo 4 de la LO 3/2007, que es la igualdad de trato y de oportunidades?","Un principio informador del ordenamiento juridico.","media"
"Igualdad, violencia y LGTBI","Como debe aplicarse el principio informador del articulo 4 LO 3/2007?","Integrandose y observandose en la interpretacion y aplicacion de las normas juridicas.","alta"
"Igualdad, violencia y LGTBI","Que es la discriminacion directa?","Un trato menos favorable por razon de sexo en una situacion comparable.","baja"
"Igualdad, violencia y LGTBI","Que es la discriminacion indirecta?","Un criterio aparentemente neutro que coloca a personas de un sexo en desventaja particular, salvo justificacion objetiva.","media"
"Igualdad, violencia y LGTBI","Se consideran discriminatorios el acoso sexual y el acoso por razon de sexo?","Si, ambos se consideran discriminatorios.","baja"
"Igualdad, violencia y LGTBI","Que es una represalia en materia de igualdad?","Un trato adverso por reclamar o participar en una reclamacion contra la discriminacion.","media"
"Igualdad, violencia y LGTBI","Que es la garantia de indemnidad?","La proteccion frente a represalias por reclamar igualdad o denunciar discriminacion.","media"
"Igualdad, violencia y LGTBI","Que ocurre con la carga de la prueba en procesos de discriminacion si hay indicios?","La parte demandada debe justificar objetivamente su actuacion.","alta"
"Igualdad, violencia y LGTBI","Que es la transversalidad de genero?","Integrar la igualdad en todas las politicas publicas.","baja"
"Igualdad, violencia y LGTBI","Cual es el umbral vigente de personas trabajadoras que obliga a tener plan de igualdad?","50 o mas personas trabajadoras.","media"
