tema,pregunta,respuesta,dificultad
"Constitución","Cuándo se publicó y entro en vigor la Constitución Espanola de 1978?","El 29 de diciembre de 1978, fecha de publicación en el BOE.","baja"
"Constitución","Cuándo fue el referendum constitucional de 1978?","El 6 de diciembre de 1978.","baja"
"Constitución","Cuándo fue sancionada la Constitución por el Rey?","El 27 de diciembre de 1978.","baja"
"Constitución","Estructura básica de la Constitución Espanola?","Preambulo, Título Preliminar, 10 títulos, 169 artículos y disposiciones adicionales, transitorias, derogatoria y final.","media"
"Constitución","Quién ratifica la Constitución según su formula inicial?","El pueblo espanol.","media"
"Constitución","Cómo define Espana el artículo 1.1 CE?","Como Estado social y democratico de Derecho.","baja"
"Constitución","Valores superiores del ordenamiento jurídico según el artículo 1.1 CE?","Libertad, justicia, igualdad y pluralismo político.","baja"
"Constitución","La solidaridad es valor superior del artículo 1.1 CE?","No. Los valores superiores son libertad, justicia, igualdad y pluralismo político.","media"
"Constitución","Dónde reside la soberania nacional según el artículo 1.2 CE?","En el pueblo espanol.","baja"
"Constitución","Cuál es la forma política del Estado espanol?","La Monarquia parlamentaria.","baja"
"Constitución","Qué reconoce el artículo 2 CE?","Unidad de la Nación espanola, autonomía de nacionalidades y regiones y solidaridad entre todas ellas.","media"
"Constitución","Cuál es la lengua oficial del Estado?","El castellano.","baja"
"Constitución","Qué deber y derecho establece el artículo 3 sobre el castellano?","Todos los espanoles tienen el deber de conocerlo y el derecho a usarlo.","media"
"Constitución","Cuál es la capital del Estado según el artículo 5 CE?","La villa de Madrid.","baja"
"Constitución","Qué expresan los partidos políticos según el artículo 6 CE?","El pluralismo político.","baja"
"Constitución","Qué exige la Constitución a la estructura interna y funcionamiento de partidos, sindicatos y asociaciones empresariales?","Que sean democraticos.","media"
"Constitución","Ciudadanos y poderes públicos estan sujetos a que según el artículo 9.1 CE?","A la Constitución y al resto del ordenamiento jurídico.","baja"
"Constitución","Qué mandato contiene el artículo 9.2 CE para los poderes públicos?","Promover libertad e igualdad reales y efectivas, remover obstaculos y facilitar participación.","media"
"Constitución","Principios garantizados por el artículo 9.3 CE?","Legalidad, jerarquía normativa, publicidad, irretroactividad desfavorable, seguridad jurídica, responsabilidad e interdicción de la arbitrariedad.","alta"
"Constitución","Qué significa interdicción de la arbitrariedad?","Prohibición de actuación arbitraria de los poderes públicos.","media"
"Constitución","Qué artículo abre el Título I?","El artículo 10 CE.","baja"
"Constitución","Fundamentos del orden político y de la paz social según el artículo 10.1 CE?","Dignidad de la persona, derechos inviolables, libre desarrollo de la personalidad, respeto a la ley y a los derechos de los demas.","alta"
"Constitución","El libre desarrollo de la empresa privada es fundamento del artículo 10.1 CE?","No. El artículo 10.1 habla del libre desarrollo de la personalidad.","media"
"Constitución","Cómo se interpretan las normas sobre derechos fundamentales según el artículo 10.2 CE?","Conforme a la Declaración Universal de Derechos Humanos y tratados y acuerdos internacionales ratificados por Espana.","alta"
"Constitución","Qué artículos abarca el Título I?","Del artículo 10 al 55.","media"
"Constitución","Qué regula el Capítulo I del Título I?","Espanoles y extranjeros.","media"
"Constitución","Puede un espanol de origen ser privado de su nacionalidad?","No, ningun espanol de origen podra ser privado de su nacionalidad.","media"
"Constitución","Cuál es la mayoria de edad en Espana?","18 anos.","baja"
"Constitución","Qué reconoce el artículo 14 CE?","Igualdad ante la ley y prohibición de discriminación.","baja"
"Constitución","El artículo 14 esta dentro de la Sección 1 del Capítulo II?","No, pero tiene protección reforzada y amparo por el artículo 53.2.","alta"
"Constitución","Dónde se regulan los derechos fundamentales y libertades públicas?","En la Sección 1 del Capítulo II del Título I, artículos 15 a 29.","media"
"Constitución","Qué artículos integran la Sección 1 del Capítulo II del Título I?","Los artículos 15 a 29.","baja"
"Constitución","Qué artículos integran la Sección 2 del Capítulo II del Título I?","Los artículos 30 a 38.","media"
"Constitución","Dónde estan los principios rectores de la política social y económica?","En el Capítulo III del Título I, artículos 39 a 52.","media"
"Constitución","Qué derecho protege el artículo 15 CE?","Derecho a la vida y a la integridad fisica y moral.","baja"
"Constitución","Qué establece el artículo 16.3 CE sobre confesiones religiosas?","Ninguna confesión tendra carácter estatal.","media"
"Constitución","Duración máxima de la detención preventiva según el artículo 17.2 CE?","El tiempo estrictamente necesario y, en todo caso, máximo 72 horas.","media"
"Constitución","Para que sirve el habeas corpus?","Para la inmediata puesta a disposición judicial de toda persona detenida ilegalmente.","media"
"Constitución","Entrada en domicilio: regla general del artículo 18.2 CE?","Consentimiento del titular, resolución judicial o flagrante delito.","alta"
"Constitución","Qué protege el artículo 18.3 CE?","El secreto de las comunicaciones, salvo resolución judicial.","media"
"Constitución","El secuestro de publicaciones puede acordarse por autoridad administrativa?","No. Solo por resolución judicial.","media"
"Constitución","Cómo debe ejercerse el derecho de reunion del artículo 21 CE?","De forma pacifica y sin armas.","baja"
"Constitución","Las manifestaciones en lugares de transito público requieren autorización previa?","No autorización; requieren comunicación previa.","media"
"Constitución","Qué asociaciones estan prohibidas por el artículo 22 CE?","Asociaciones secretas y de carácter paramilitar.","media"
"Constitución","Qué derecho reconoce el artículo 23 CE?","Participación en asuntos públicos directamente o por representantes y acceso a cargos y funciones públicas.","media"
"Constitución","Qué incluye la tutela judicial efectiva del artículo 24 CE?","Derecho a tutela sin indefensión, juez ordinario, defensa, prueba y presunción de inocencia, entre otros.","alta"
"Constitución","Qué prohibe el artículo 26 CE?","Los Tribunales de Honor en la Administración civil y organizaciones profesionales.","media"
"Constitución","Qué reconoce el artículo 27 CE?","Derecho a la educación y libertad de ensenanza.","baja"
"Constitución","Qué derechos laborales reconoce el artículo 28 CE?","Libertad sindical y derecho de huelga de los trabajadores.","media"
"Constitución","Cómo se ejerce el derecho de petición del artículo 29 CE?","Por escrito, individual y colectivamente.","media"
"Constitución","Qué artículo regula la objeción de conciencia?","El artículo 30 CE.","media"
"Constitución","Qué derecho de la Sección 2 tiene amparo expreso por el artículo 53.2?","La objeción de conciencia del artículo 30.","alta"
"Constitución","Qué principios rigen el sistema tributario del artículo 31 CE?","Igualdad, progresividad y no confiscatoriedad.","media"
"Constitución","Qué reconoce el artículo 33 CE?","Derecho a la propiedad privada y a la herencia, con función social.","media"
"Constitución","Qué reconoce el artículo 38 CE?","Libertad de empresa en el marco de la economia de mercado.","media"
"Constitución","Cómo pueden alegarse los principios rectores del Capítulo III?","Solo ante la jurisdicción ordinaria conforme a las leyes que los desarrollen.","alta"
"Constitución","Qué artículo regula las garantías de los derechos?","El artículo 53 CE.","baja"
"Constitución","Qué protege el artículo 53.1 CE?","Los derechos y libertades del Capítulo II; vinculan a poderes públicos y la ley debe respetar su contenido esencial.","alta"
"Constitución","Qué tutela reforzada establece el artículo 53.2 CE?","Procedimiento preferente y sumario ante tribunales ordinarios y, en su caso, recurso de amparo.","alta"
"Constitución","Qué derechos protege el recurso de amparo constitucional?","Artículo 14, Sección 1 del Capítulo II del Título I y objeción de conciencia del artículo 30.","alta"
"Constitución","Qué artículo regula el Defensor del Pueblo?","El artículo 54 CE.","baja"
"Constitución","Qué es el Defensor del Pueblo?","Alto comisionado de las Cortes Generales para la defensa de los derechos del Título I.","media"
"Constitución","Qué artículo regula la suspensión de derechos y libertades?","El artículo 55 CE.","baja"
"Constitución","En que estados procede la suspensión general del artículo 55.1 CE?","En los estados de excepción o sitio, no en el estado de alarma.","alta"
"Constitución","El estado de alarma permite suspensión general de derechos por el artículo 55.1 CE?","No. El artículo 55.1 se refiere a excepción y sitio.","alta"
"Constitución","Para que supuestos se permite la suspensión individual del artículo 55.2 CE?","Investigaciones relativas a bandas armadas o elementos terroristas, con intervención judicial y control parlamentario.","alta"
"Constitución","Qué derechos pueden suspenderse individualmente según el artículo 55.2 CE?","Artículo 17.2, artículo 18.2 y artículo 18.3.","alta"
"Constitución","Qué artículo regula la reforma constitucional agravada?","El artículo 168 CE.","media"
"Constitución","Cuándo se aplica el procedimiento agravado del artículo 168 CE?","Revisión total o parcial que afecte al Título Preliminar, Sección 1 del Capítulo II del Título I o Título II.","alta"
"Constitución","Mayoria inicial exigida por el artículo 168 CE?","Aprobación del principio por mayoria de dos tercios de cada Camara.","alta"
"Constitución","Qué ocurre tras aprobarse inicialmente una reforma del artículo 168 CE?","Disolución inmediata de las Cortes.","alta"
"Constitución","El referendum en la reforma agravada del artículo 168 CE es obligatorio?","Si, tras la aprobación por las nuevas Camaras debe someterse a referendum para ratificación.","alta"
