tema,pregunta,respuesta,dificultad
"Fuentes del ordenamiento","Segun el articulo 1 del Codigo Civil, cuales son las fuentes del ordenamiento juridico espanol?","La ley, la costumbre y los principios generales del derecho.","baja"
"Fuentes del ordenamiento","Es la jurisprudencia una fuente directa segun el articulo 1 del Codigo Civil?","No; complementa el ordenamiento con la doctrina reiterada del Tribunal Supremo.","media"
"Fuentes del ordenamiento","Cuando rige la costumbre como fuente del derecho?","En defecto de ley aplicable, si no es contraria a la moral o al orden publico y se prueba.","media"
"Fuentes del ordenamiento","Cuando entra en vigor una ley si no dispone otra cosa?","A los 20 dias de su completa publicacion en el BOE.","media"
"Fuentes del ordenamiento","Como se derogan las leyes segun el Codigo Civil?","Solo por otras leyes posteriores.","media"
"Fuentes del ordenamiento","Tienen las leyes efecto retroactivo por regla general?","No, salvo que dispongan lo contrario.","media"
"Fuentes del ordenamiento","Que principios recoge el articulo 9.3 de la Constitucion?","Legalidad, jerarquia normativa, publicidad de las normas, irretroactividad desfavorable, seguridad juridica, responsabilidad e interdiccion de la arbitrariedad.","alta"
"Fuentes del ordenamiento","Que materias regula una ley organica segun el articulo 81 CE?","Desarrollo de derechos fundamentales y libertades publicas, Estatutos de Autonomia, regimen electoral general y demas previstas en la Constitucion.","media"
"Fuentes del ordenamiento","Que mayoria exige la aprobacion de una ley organica?","Mayoria absoluta del Congreso en votacion final sobre el conjunto del proyecto.","media"
"Fuentes del ordenamiento","Esta reservado a ley organica el desarrollo del derecho de asociacion?","Si, por estar en el articulo 22 CE, Seccion 1.a.","media"
"Fuentes del ordenamiento","Esta reservado a ley organica el derecho de propiedad privada?","No, no por esa razon.","alta"
"Fuentes del ordenamiento","Que organos tienen iniciativa legislativa segun el articulo 87 CE?","El Gobierno, el Congreso, el Senado, las Asambleas de las Comunidades Autonomas y la iniciativa popular.","media"
"Fuentes del ordenamiento","Cuantas firmas exige la iniciativa popular?","No menos de 500.000 firmas acreditadas.","media"
"Fuentes del ordenamiento","Por que tipo de norma se regulan las formas de ejercicio y requisitos de la iniciativa popular?","Por ley organica.","alta"
"Fuentes del ordenamiento","En que articulos de la Constitucion se regulan los Decretos Legislativos?","En los articulos 82 a 85 CE.","media"
"Fuentes del ordenamiento","Que requiere un Decreto Legislativo?","Delegacion previa y expresa de las Cortes Generales, para materia concreta y con plazo.","media"
"Fuentes del ordenamiento","Mediante que norma se otorga la delegacion para formar textos articulados?","Mediante ley de bases.","media"
"Fuentes del ordenamiento","Mediante que norma se otorga la delegacion para refundir varios textos legales en uno solo?","Mediante ley ordinaria.","media"
"Fuentes del ordenamiento","Puede subdelegarse de forma implicita la delegacion legislativa?","No, no puede entenderse concedida de modo implicito.","alta"
"Fuentes del ordenamiento","En que articulo de la Constitucion se regula el decreto-ley?","En el articulo 86 CE.","media"
"Fuentes del ordenamiento","Que presupuesto exige el decreto-ley?","Extraordinaria y urgente necesidad.","baja"
"Fuentes del ordenamiento","En cuantos dias debe el Congreso debatir y votar la convalidacion de un decreto-ley?","Dentro de los 30 dias siguientes a su promulgacion.","media"
"Fuentes del ordenamiento","Puede el decreto-ley afectar al regimen de las Comunidades Autonomas?","No, es uno de sus limites materiales.","media"
"Fuentes del ordenamiento","Puede el decreto-ley afectar a los derechos y deberes del Titulo I?","No, es uno de sus limites materiales.","media"
"Fuentes del ordenamiento","Que diferencia hay entre decreto-ley y Decreto Legislativo?","El decreto-ley responde a urgencia; el Decreto Legislativo responde a delegacion previa de las Cortes.","media"
"Fuentes del ordenamiento","Quien ejerce la potestad reglamentaria segun el articulo 97 CE?","El Gobierno.","baja"
"Fuentes del ordenamiento","Puede un reglamento modificar o derogar una ley?","No; el reglamento esta subordinado a la ley.","baja"
"Fuentes del ordenamiento","En la jerarquia reglamentaria estatal basica, que norma va primero?","El Real Decreto del Presidente del Gobierno o del Consejo de Ministros.","alta"
"Fuentes del ordenamiento","Que se situa por debajo de los Reales Decretos en la jerarquia reglamentaria estatal?","Las Ordenes Ministeriales.","media"
"Fuentes del ordenamiento","Que tratados exigen previa autorizacion de las Cortes Generales segun el articulo 94 CE?","Los de caracter politico o militar, los que afecten a la integridad territorial o a derechos del Titulo I, los que impliquen obligaciones financieras y los que exijan medidas legislativas.","alta"
"Fuentes del ordenamiento","Cuando forman parte del ordenamiento interno los tratados internacionales?","Desde su publicacion integra en el BOE.","media"
"Fuentes del ordenamiento","Que exige un tratado con estipulaciones contrarias a la Constitucion?","Previa revision constitucional.","alta"
"Fuentes del ordenamiento","Que relacion jerarquica existe entre ley organica y ley ordinaria?","No hay jerarquia general entre ellas; se distinguen por materia reservada y procedimiento.","alta"
"Fuentes del ordenamiento","Como se clasifican las leyes por origen territorial?","Ley estatal y ley autonomica.","baja"
"Fuentes del ordenamiento","Que principio establece que la norma inferior no puede contradecir a la superior?","El principio de jerarquia normativa.","baja"
"Fuentes del ordenamiento","Que principio establece que la norma especial prevalece sobre la general en su ambito?","El principio de especialidad.","media"
"Fuentes del ordenamiento","Tiene el Derecho de la Union Europea primacia en su ambito propio?","Si, conforme a la doctrina europea.","alta"
"Fuentes del ordenamiento","Es la doctrina cientifica una fuente formal del derecho?","No; es una ayuda interpretativa, no una fuente formal.","media"
