tema,pregunta,respuesta,dificultad
"Windows 10","Que combinacion de teclas abre el Explorador de archivos?","Windows + E.","baja"
"Windows 10","Donde se ve la ruta completa de una carpeta abierta en el Explorador?","En la barra de direcciones.","baja"
"Windows 10","Que muestra el panel de vista previa del Explorador?","El contenido de ciertos archivos sin necesidad de abrirlos.","baja"
"Windows 10","Que diferencia hay entre el panel de vista previa y el panel de detalles?","El de vista previa muestra el contenido; el de detalles muestra propiedades y metadatos del elemento.","media"
"Windows 10","Que ubicaciones suele contener la carpeta personal de cada usuario?","Escritorio, Documentos, Descargas, Imagenes, Musica y Videos.","media"
"Windows 10","Es lo mismo la carpeta personal que la carpeta Documentos?","No. Documentos es una carpeta habitual dentro del perfil, pero la carpeta personal engloba varias ubicaciones.","alta"
"Windows 10","Que muestra principalmente Acceso rapido?","Carpetas frecuentes o ancladas y archivos recientes.","baja"
"Windows 10","Al desanclar una carpeta de Acceso rapido, se borra del disco?","No. Solo se quita el acceso; la carpeta real no se elimina.","media"
"Windows 10","Que concentra Este equipo?","Unidades de disco, dispositivos extraibles y las carpetas principales del usuario.","baja"
"Windows 10","Como se consulta el espacio libre de una unidad de disco?","Desde Este equipo, menu contextual de la unidad y Propiedades.","media"
"Windows 10","Que hace Mayus + clic al seleccionar archivos en el Explorador?","Selecciona un bloque contiguo entre dos elementos.","baja"
"Windows 10","Que hace Ctrl + clic al seleccionar archivos en el Explorador?","Anade o quita elementos concretos de la seleccion, sin afectar al resto.","baja"
"Windows 10","Que hace Ctrl + A en una carpeta del Explorador?","Selecciona todos los elementos de la carpeta.","baja"
"Windows 10","Que diferencia hay entre copiar y cortar un archivo?","Copiar conserva el original en su ubicacion; cortar lo prepara para moverlo.","baja"
"Windows 10","Que combinacion elimina un archivo sin pasar por la Papelera?","Mayus + Supr, si se confirma la eliminacion.","media"
"Windows 10","Que es la extension de un archivo?","Los caracteres finales tras un punto que ayudan a identificar el tipo de archivo.","baja"
"Windows 10","Cambiar manualmente la extension de un archivo convierte su contenido?","No. Puede impedir que el archivo se abra correctamente.","media"
"Windows 10","Pueden coexistir informe.docx e informe.pdf en la misma carpeta?","Si, porque la extension forma parte del nombre completo del archivo.","media"
