tema,pregunta,respuesta,dificultad
"Seguridad Social","Que articulo de la Constitucion ordena mantener un regimen publico de Seguridad Social?","El articulo 41.","baja"
"Seguridad Social","Que norma aprueba el texto refundido de la Ley General de la Seguridad Social?","El Real Decreto Legislativo 8/2015, de 30 de octubre.","baja"
"Seguridad Social","Cuales son los principios del sistema segun el articulo 2 LGSS?","Universalidad, unidad, solidaridad e igualdad.","baja"
"Seguridad Social","Es la subsidiariedad principio del articulo 2.1 LGSS?","No. Los principios son universalidad, unidad, solidaridad e igualdad; la subsidiariedad no aparece en esa lista.","media"
"Seguridad Social","Por que se integra el sistema de Seguridad Social segun el articulo 9 LGSS?","Por el Regimen General y los regimenes especiales.","baja"
"Seguridad Social","Es correcto decir que el sistema se integra por regimen contributivo y asistencial?","No. Esa es una clasificacion de modalidad de proteccion, no la estructura del articulo 9.","alta"
"Seguridad Social","Que regimen especial corresponde a los trabajadores por cuenta propia?","El Regimen Especial de Trabajadores Autonomos (RETA).","baja"
"Seguridad Social","Que gestiona el INSS?","El reconocimiento y control de las prestaciones economicas del sistema.","baja"
"Seguridad Social","Que gestiona la TGSS?","La caja unica: inscripcion, afiliacion, altas, bajas, cotizacion y recaudacion.","baja"
"Seguridad Social","Que gestiona el IMSERSO?","Pensiones no contributivas de invalidez y jubilacion y servicios sociales complementarios.","media"
"Seguridad Social","Que gestiona el INGESA?","La gestion sanitaria en el ambito territorial no transferido, principalmente Ceuta y Melilla.","media"
"Seguridad Social","Que gestiona el ISM?","El Regimen Especial de Trabajadores del Mar.","media"
"Seguridad Social","Son las mutuas colaboradoras entidades gestoras?","No. Son asociaciones privadas de empresarios autorizadas que colaboran en la gestion de determinadas prestaciones.","media"
"Seguridad Social","Que prestacion se puso como ejemplo de gestion por mutuas en pregunta historica?","La prestacion por cuidado de menores afectados por cancer u otra enfermedad grave.","media"
"Seguridad Social","Que caracteristicas tiene la afiliacion a la Seguridad Social?","Es obligatoria, unica y para toda la vida de la persona y para todo el sistema.","media"
"Seguridad Social","Se renueva la afiliacion al cambiar de regimen?","No. La afiliacion es unica y no se renueva.","media"
"Seguridad Social","Que diferencia hay entre afiliacion y alta?","La afiliacion incorpora por primera vez al sistema; el alta comunica el inicio o reanudacion de una actividad concreta.","media"
"Seguridad Social","Quien puede practicar la afiliacion?","El empresario, el trabajador o de oficio la Administracion.","media"
"Seguridad Social","Desde cuando nace la obligacion de cotizar?","Desde el inicio de la actividad determinante de inclusion en el sistema.","baja"
"Seguridad Social","Como se fija el tope maximo de las bases de cotizacion?","Por la cuantia fijada cada ano por la Ley de Presupuestos Generales del Estado.","media"
"Seguridad Social","Como se fija el tope minimo de las bases de cotizacion segun el articulo 19.2 LGSS?","Segun el salario minimo interprofesional vigente, incrementado en un sexto, salvo disposicion expresa en contrario.","alta"
"Seguridad Social","Que es la cuota de Seguridad Social?","El resultado de aplicar el tipo de cotizacion a la base de cotizacion.","baja"
"Seguridad Social","En trabajo por cuenta ajena, quien ingresa la cotizacion?","La empresa, que ingresa tanto la aportacion empresarial como la del trabajador.","media"
"Seguridad Social","En que plazo prescribe el derecho de la Administracion para determinar deudas por cuotas mediante liquidacion?","A los 4 anos.","media"
"Seguridad Social","Que diferencia hay entre contingencia comun y contingencia profesional?","La comun incluye enfermedad comun y accidente no laboral; la profesional incluye accidente de trabajo y enfermedad profesional.","media"
"Seguridad Social","Que prestaciones economicas principales cubre la accion protectora?","Incapacidad temporal, nacimiento y cuidado de menor, riesgo durante embarazo o lactancia, incapacidad permanente, jubilacion, muerte y supervivencia, desempleo, cese de actividad e ingreso minimo vital.","media"
"Seguridad Social","Es compatible la pension de jubilacion con el trabajo por cuenta propia?","Si, si los ingresos anuales totales no superan el salario minimo interprofesional en computo anual.","alta"
"Seguridad Social","Que diferencia hay entre modalidad contributiva y no contributiva?","La contributiva exige cotizacion previa; la no contributiva protege situaciones de necesidad aunque no haya cotizacion suficiente.","media"
"Seguridad Social","Que fuentes financian el sistema de Seguridad Social?","Cotizaciones sociales, aportaciones del Estado, recargos, sanciones e intereses, y otros ingresos legalmente previstos.","media"
"Seguridad Social","Que organismo se encarga de la recaudacion de cuotas de Seguridad Social?","La Tesoreria General de la Seguridad Social (TGSS).","baja"
"Seguridad Social","Que fases tiene la recaudacion de cuotas?","Periodo voluntario y via ejecutiva.","media"
"Seguridad Social","Que es la inscripcion de empresas?","El acto por el que se identifica al empresario ante la Seguridad Social.","baja"
"Seguridad Social","Que menciona expresamente el articulo 41 CE sobre situaciones de necesidad?","El desempleo, como caso especialmente mencionado.","media"
"Seguridad Social","Segun el articulo 41 CE, las prestaciones complementarias son...?","Libres.","media"
"Seguridad Social","Que es la baja en Seguridad Social?","La comunicacion del cese en una actividad concreta.","baja"
