tema,pregunta,respuesta,dificultad
"Jurisdiccion contencioso-administrativa","Cual es la ley reguladora de la Jurisdiccion Contencioso-administrativa?","Ley 29/1998, de 13 de julio.","baja"
"Jurisdiccion contencioso-administrativa","Que controla la jurisdiccion contencioso-administrativa?","La actividad administrativa sometida al Derecho Administrativo.","baja"
"Jurisdiccion contencioso-administrativa","Es el recurso contencioso-administrativo un recurso ante la propia Administracion?","No, es un proceso judicial ante organos del Poder Judicial.","media"
"Jurisdiccion contencioso-administrativa","Esta incluida la responsabilidad patrimonial de las Administraciones Publicas en el orden contencioso-administrativo?","Si, esta incluida, aunque concurran particulares o aseguradoras.","media"
"Jurisdiccion contencioso-administrativa","Esta excluido del orden contencioso-administrativo el recurso contencioso-disciplinario militar?","Si, esta excluido (articulo 3 LJCA).","media"
"Jurisdiccion contencioso-administrativa","Quedan excluidos del orden contencioso los conflictos de jurisdiccion entre Juzgados/Tribunales y la Administracion?","Si, tienen vias propias de resolucion.","media"
"Jurisdiccion contencioso-administrativa","Que organo conoce de los recursos de casacion en cualquiera de sus modalidades?","La Sala de lo Contencioso-administrativo del Tribunal Supremo (articulo 12 LJCA).","media"
"Jurisdiccion contencioso-administrativa","Donde tienen sede los Juzgados Centrales de lo Contencioso-administrativo?","En Madrid.","baja"
"Jurisdiccion contencioso-administrativa","Cual es el ambito territorial de los Juzgados de lo Contencioso-administrativo?","Provincial.","baja"
"Jurisdiccion contencioso-administrativa","Que papel desempena la Administracion autora del acto en el proceso contencioso?","Actua como demandada.","baja"
"Jurisdiccion contencioso-administrativa","Que se necesita para tener legitimacion activa en el proceso contencioso-administrativo?","Un derecho o interes legitimo.","media"
"Jurisdiccion contencioso-administrativa","Pueden los menores de edad tener capacidad procesal para defender sus derechos e intereses legitimos?","Si, cuando la ley lo permita sin asistencia de quien ejerza patria potestad, tutela o curatela.","alta"
"Jurisdiccion contencioso-administrativa","Que tipos de actuaciones pueden impugnarse ante la jurisdiccion contencioso-administrativa?","Disposiciones generales, actos expresos, actos presuntos, inactividad y via de hecho.","media"
"Jurisdiccion contencioso-administrativa","Son recurribles directamente los actos de tramite simples?","No, salvo que sean actos de tramite cualificados o se recurra la resolucion final.","media"
"Jurisdiccion contencioso-administrativa","Que es un acto de tramite cualificado?","El que decide directa o indirectamente el fondo, impide continuar el procedimiento, o produce indefension o perjuicio irreparable.","alta"
"Jurisdiccion contencioso-administrativa","Cual es el plazo para interponer recurso contra un acto expreso que pone fin a la via administrativa?","2 meses.","baja"
"Jurisdiccion contencioso-administrativa","Cual es el plazo para interponer recurso contra un acto presunto?","6 meses desde el dia siguiente a que se produzca el acto presunto.","media"
"Jurisdiccion contencioso-administrativa","Cual es el plazo para recurrir la via de hecho si hubo requerimiento previo?","10 dias desde el fin del plazo del requerimiento.","alta"
"Jurisdiccion contencioso-administrativa","Cual es el plazo para recurrir la via de hecho si no hubo requerimiento previo?","20 dias.","alta"
"Jurisdiccion contencioso-administrativa","Con que escrito se inicia normalmente el procedimiento ordinario contencioso-administrativo?","Con el escrito de interposicion.","baja"
"Jurisdiccion contencioso-administrativa","Como se entiende efectuado el emplazamiento a la Administracion?","Por la reclamacion del expediente administrativo.","media"
"Jurisdiccion contencioso-administrativa","Como debe remitirse el expediente administrativo al organo judicial?","Completo, foliado, autenticado y acompanado de indice.","media"
"Jurisdiccion contencioso-administrativa","Cual es el plazo ordinario para formular la demanda tras recibir el expediente?","20 dias.","media"
"Jurisdiccion contencioso-administrativa","Cual es el plazo ordinario para la contestacion a la demanda?","20 dias.","media"
"Jurisdiccion contencioso-administrativa","Cuando se recibe el proceso a prueba?","Cuando hay disconformidad en hechos relevantes.","media"
"Jurisdiccion contencioso-administrativa","En cuantos dias debe dictarse sentencia desde que el pleito se declara concluso?","10 dias.","baja"
"Jurisdiccion contencioso-administrativa","Que caracteriza al procedimiento abreviado frente al ordinario?","Mayor oralidad y concentracion; se inicia directamente por demanda.","media"
"Jurisdiccion contencioso-administrativa","Esta incluida en el orden contencioso la proteccion jurisdiccional de derechos fundamentales frente a la Administracion?","Si, mediante un procedimiento especial.","media"
"Jurisdiccion contencioso-administrativa","Que es la cuestion de ilegalidad?","Un procedimiento especial de control indirecto de reglamentos, cuando se anula un acto por ilegalidad de la disposicion general que lo ampara.","alta"
"Jurisdiccion contencioso-administrativa","Para que sirven las medidas cautelares en el proceso contencioso?","Para asegurar la eficacia de la sentencia, evitando que el recurso pierda su finalidad legitima.","media"
"Jurisdiccion contencioso-administrativa","Cual es la medida cautelar mas habitual en el proceso contencioso?","La suspension de la actuacion impugnada.","baja"
"Jurisdiccion contencioso-administrativa","Que puede pedir el recurrente ademas de la anulacion del acto?","Reconocimiento de una situacion juridica individualizada, restablecimiento, condena a hacer/no hacer/indemnizar, o cese de via de hecho.","media"
"Jurisdiccion contencioso-administrativa","Donde debe publicarse el fallo que anula una disposicion general?","En el mismo periodico oficial en que se publico la disposicion anulada.","alta"
"Jurisdiccion contencioso-administrativa","Es obligatorio el procurador ante un organo unipersonal (Juzgado) en el proceso contencioso?","El procurador es potestativo; el abogado es necesario, salvo excepciones legales.","alta"
"Jurisdiccion contencioso-administrativa","A quien corresponden los recursos contra Normas Forales fiscales de las Juntas Generales vascas?","Al Tribunal Constitucional, en los terminos de la LOTC; no es una exclusion ordinaria del articulo 3, sino un regimen especial.","alta"
